000|001|100$a|100$b|100$c|100$d|245$a|245$b|245$c|245$d|260$a|260$b|260$c|260$d|336$a|336$0|336$2|337$a|337$2|338$a|338$2|651$a|651$0|655$a|655$0
"02709cam a2200445Mi 4500"|"ocm64845635\"|"Blanckaert, Nicolaas,"|||"1624-1703."|"Nicolai Blancardi Panegyricvs, pro ivbileo sev festo secvlari, :"|"ivssv procervm, in Templo Academico, dictvs MDCLXXXV, die Sept. XXIV."|||"Franeqverae :"|"excudit Johannes Gyselaer ...,"|"1685."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01280cam a2200313Mi 4500"|"ocm65698573\"|||||"De Staten van Hollandt ende West-Vrieslandt, allen den genen, die desen sullen sien ofte hooren lesen, salut. Doen te weten, dat wy hebben bevonden, dat zedert eenighen tijdt herwaerts, in verscheyde steden ende plaetsen van desen lande zijn ontstaen geweest veele diffidentien ende murmuratien .."||||"In 's Graven-hage, :"|"by Jacobus Scheltus ...,"|"1672."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01937cam a2200385Ii 4500"|"ocm03922636\"|"La Planche, Louis Régnier de,"|||"approximately 1530-approximately 1580."|"La legende de Charles, cardinal de Lorraine :"|"& de ses freres, de la maison de Guise /"|"Descrite en trois liures par François de l'Isle [i.e. La Planche]."||"Reims :"|"Imprimerie de Pierre Martin,"|"1579."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"France;France."|"http://id.loc.gov/authorities/subjects/sh85051282;http://id.worldcat.org/fast/01204289;http://id.loc.gov/authorities/names/n79006404-781"|"History."|"http://id.worldcat.org/fast/01411628"
"01587cam a2200289M  4500"|"ocm17749472\"|"Mesmes, Jean-Antoine de,"||"comte d'Avaux,"|"1640-1709."|"Memorie van Syn Excellentie de Heer Grave d'Avaux, extraordinaris ambassadeur van Syn Alder-Christelijkste Majesteyt"|"gepresenteert aen de Staten Generaal der Vereenigde Nederlanden. Den 16. Mey, 1684."|||"[Place of publication not identified]"||"1684."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"||||
"02315cam a2200385 a 4500"|"ocm30357261\"|||||"Abschiedt der Röm. Keys. Maiest. vnd gemeyner Stend vff dem Reichsstag zů Augspurg vffgericht Anno Domini MDLI."||||"Gedruckt inn der chůrfürstlichen Stadt Meyntz :"|"Durch Iuonem Schöffer,"|"im[m] Iare 1551."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"Europe"|"http://id.worldcat.org/fast/01205344"||
"02382cam a2200433Ia 4500"|"ocm32763752\"|"Ossat, Arnaud d',"|||"1536-1604."|"Expositio Arnaldi Ossati in disputationem Jacobi Carpentarii De methodo."||||"Parisiis [Paris, France] :"|"Apud Andream Wechelum,"|"1564."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|||"Early works."|"http://id.worldcat.org/fast/01411636"
"01471cam a2200313   4500"|"ocm41885432\"|"Socinus, Faustus,"|||"1539-1604."|"Tractatvs de ivstificatione,"||"Favsti Socini Senensis."||"Racoviae,"|"Typis Sebastiani Sternacii,"|"1616."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|||"Early works."|"http://id.worldcat.org/fast/01411636"
"01546cam a2200337Ma 4500"|"ocm45240051\"|"Burman, Frans,"|||"1628-1679."|"Francisci Burmanni ... Oratio de causis Belgicae afflictae. :"|"Dicta in templi majoris choro, A. diem XIII. Junii, urbi huic funestum, A.C. MDCLXXIV."|||"Trajecti ad Rhenum :"|"Apud Cornelium Jacobi Noenardum ...,"|"MDCLXXIV."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"Belgium;Belgium."|"http://id.loc.gov/authorities/subjects/sh85012971;http://id.worldcat.org/fast/01210278;http://id.loc.gov/authorities/names/n80126041-781"|"History."|"http://id.worldcat.org/fast/01411628"
"02055cam a2200409Ma 4500"|"ocm46340241\"|"Henry"|"III,"|"King of France,"|"1551-1589."|"Edictum Henrici Regis Galliae de pace, nuper a typographo regio Lutetiæ editum cum priuilegio Regis, è Gallico in Latinum sermonem fideliter conuersum."||||"[Paris] :"|"[Féderic Morel?],"|"1576."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"France;France;France."|"http://id.worldcat.org/fast/01204289;http://id.loc.gov/authorities/names/n79006404-781"|"Early works.;History."|"http://id.worldcat.org/fast/01411636;http://id.worldcat.org/fast/01411628"
"01905cam a2200373Ia 4500"|"ocm58038313\"|"Wigand, Johann,"|||"1523-1587."|"Warnung vor dem Catechismo D. Canisii, des grossen Jhesuwidders :"|"Daraus die ungründe bepstlicher Lere zu erkennen /"|"D. Johannes Wigandus."||"Gedruckt zu Jhena :"|"durch Christian Rhödingers Erben,"|"M.D. LXX."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|||"Controversial literature."|"http://id.worldcat.org/fast/01423907"
"00862cam a2200265Mi 4500"|"ocm66866240\"|||||"Rerum a Martino Schenckio apud Neomagenses undecima Augusti gestarum brevis historia /"||"descripta a quodam oculato."||"Antverpiae :"|"ex officina Joachimi Trognesii,"|"1589."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01076cam a2200265Mi 4500"|"ocm66866268\"|||||"Warachtige nieuwe tijdinge, ende schoone victorie, die de almloghende Heere tot voordeel des Vaderlandts verleent ende verthoont heeft, door den vromen heere Monsieur a Lonche ... capiteyn voor den prinche [!] van Oraenien ende Staten des Nederlandts met syne soldaten ende adherenten opt faict ende innemen der stadt van Diest op den ix. junij ..."||||"[Homberg?] :"|"[Nicolaes of Peter Gevaerts],"|"1580."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01090cam a2200289Mi 4500"|"ocm66866481\"|"Willem I,"||"prins van Oranje."||"Bekendnus, der durchleuchtigesten hochgebornen Fürsten und Herrn, Herren Wilhelm Printz zu Uranien, sampt andern irer F.G. Mitverwandten Defension, und Nootwehr widder des Duca de Alba unchristliche und eunerhörte Verfolgung gegen alle Stendt der Nidderlanden, tyrannischer Weise geübet."||||"[S.l.] :"|"[s.n.],"|"[1568]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01323cam a2200289Mi 4500"|"ocm66866503\"|"Eyzinger, Michael."||||"Spanischer Armada oder Kriegsrüstung warhaffte Relation /"||"auss dem Hispanischen Original in Hochteutsch ubergesetzt ; sambt Erzehlung: wie deiselbig den 29. unnd 30. Maij under dem Bevelch des Hertzogen von Medina Sidonia, auss Portugal abgeschifft, unnd wie sie mit grosser Gefahr darnach an Engellandt ankommen, unnd sich im engen Meer durchgeschlagen, den 8. 9. und 10. Augusti, auch wie darnach solche Armada auff dem flachen Meer abermals mit den Englischen ein Treffen gethan den 22. Tag desselbigen Monats Augusti 1588."||"Zu Cölln :"|"bey Godtfriedt van Kempen,"|"1588."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00983cam a2200265Mi 4500"|"ocm66866526\"|||||"Placcaet opden opheve vanden veertichsten penninck, op de onroerende goederen inde stadt, steden, ende landen van Utrecht gheleghen, die ghetransporteert of in eenigher wijse veralieneert sullen worden, midtsgaders op eenige prelaturen ende prebenden &c."||||"Gheprent tot Utrecht :"|"by Salomon Aertson,"|"1591."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01214cam a2200289Mi 4500"|"ocm66866534\"|"Latomus, Bartholomaeus,"|||"1485-1566."|"Responsio Bartholomaei Latomi ad epistolam quandam Martini Buceri de dispensatione Eucharistiae &invocatione divorum & de coelibatu sacerdotum, in qua interim Ecclesiae & sanctorum patrum authoritas acerrime defenditur."||||"Coloniae :"|"ex officina Melchioris Novesiani,"|"1544."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01557cam a2200313Mi 4500"|"ocm66866536\"|||||"Antwort der catholischen königlichen Maiestet, auff das jenige, was der Durchleuchtigst, unnd Hochgeborne Fürst, Carle Ertzhertzog in Oesterreich, derselben Vetter, in namen und von wegen des Allerdurchleuchtigsten, Grossmechtigsten Fürsten, Herren Maximiliani II Römischen Keysers, desselben geliebten Brudern, des Niderländischen Kriegswesen halber, fürgebracht :"|"auch ist zu endt ein Edict mit angehenckt so König. May. inn Polen an die Statt Wilda, wegen der Empörung und Auffrur, so die von der Catholischen Römischen Kirchen, wider die Leut und Kirchendiener des evangelischen und sächsischen hauffens, erweckt, aussgehen lassen."|||"[S.l.] :"|"[s.n.],"|"1582."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01152cam a2200277Mi 4500"|"ocm66866542\"|"Gebhard II,"||"Truchsess von Waldburg."||"Christliche Erklärung in Religions Sachen, so der Hochwürdigst Fürst und Herr, Herr Gebhardt, Erwehlter und Bestättigter zu Ertzbischoffen zu Cölln, dess Heiligen Reichs durch Italien Ertz-Canzler und Churfürst, Hertzog zu Westphalen und Engern etc. den 16. Januarii, dieses jetzt lauffenden 83. Jars, in irer Churf. G. Ertzstifft Cölln, offentlich publiciern, und verkünden lassen etc."||||"[S.l.] :"|"[s.n.],"|"1583."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01015cam a2200265Mi 4500"|"ocm66866544\"|||||"Confutation, Appellation und Protestationschrifft dess ehrwirdigen und wolgebornen Herrn Herrn Georg von Säyn Graffen zu Witgenstein Thumbprobsten zu Cölln etc., von einer nichtiger Citation und darauff untüglich ergangen Urtheil, Herren Johan Frantzen Bischoffen zu Vercel, Nuntii Pontificii."||||"[S.l.] :"|"[s.n.],"|"1583."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00885cam a2200241Mi 4500"|"ocm66866546\"|||||"Raben Nest, auss wölchem bey jetziger Herbst Mess zu Franckfort 1588 etliche Junge feindt abgeflogen, umb ihre Laster Schnäbel, Lügenhafftigerweisz zuwetzen, wider die Papisten so wol als wider die Ubiquitisten oder Confessionisten ..."||||"Heydelberg :"|"[s.n.],"|"1589."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01021cam a2200277Mi 4500"|"ocm66866547\"|||||"Zeytung, welcherley Massen und Gestalt die Friedtshadelung [!] sich mit der Statt Strassbürg unnd dem Hertzogen von Lotringen sampt dem Marggraffen von Brandenburg etc. zu getragen und begeben hat, den 27. February 1539."||||"Gedruckt zu Cölln :"|"durch Nicolaus Schreiber,"|"1593."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01128cam a2200241Mi 4500"|"ocm66866549\"|||||"Dasz es nicht war, sondern ein grosse grobe Landtlügen sey, was von der Churfürstlichen Pfaltzischen Reformation unnd Kirchenordnung, anno 86. von etlichen heimlich, jetzo aber von einem (der sich noch nicht nennet) in seier Postrema relatione historica, das ist, Letzsten historischen Beschreibung, in offentlichen Truck ohne allen Grundt aussgesprengt worden /"||"durch Guthertziger Liebhaber der Warheit in der Churfürstlichen Pfaltz, kurtzlich an Tagn gegeben."||"Getruckt in ... Heidelberg :"|"[s.n.],"|"1588."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01516cam a2200337Mi 4500"|"ocm66866551\"|"Osiander, Lucas."||||"Bericht an alle fromme Christen, welche die Warheit lieben: warumb die beide rasende Barfüsser Mönch, Georg Eckhart und Michel Anisius, keiner Antwort werth seien /"||"gestelt durch Lucas Osiander."||"Getruckt zu Tübingen :"|"Bey Georgen Gruppenbach,"|"1592."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"||||||
"01125cam a2200265Mi 4500"|"ocm66866552\"|"Pierius, Urbanus."||||"Genötigte Verneinung Urbani Pierij D. das ist, dass es nicht war sey, was wider ihn Magnus Christophorus H. mit dem Titull Revocatio oder Wiederruff Urbani Pierii etc. in Druck aussgelassen :"|"allen Rechtgläubigen,zur wahren gründlichen Nachrichtung und zu Entdeckung der offentlichen Lügen dieses Magni Christophori, kürtzlich am Tag geben."|||"Getruckt in ... Heidelberg :"|"durch Abraham Smesman,"|"1593."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00874cam a2200265Mi 4500"|"ocm66866768\"|"Luntius, Johannes."||||"Ode annalis quinta: De antiquorum Romanorum virtute :"|"scripta juventuti Ultrajectinae : a J. Luntio."|||"Ultrajecti :"|"ex officina Hermanni Borculoi,"|"[1601]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00901cam a2200265Mi 4500"|"ocm66866770\"|"Luntius, Johannes."||||"Ode annalis sexta: Singula suis et certis in mundo periodis regi :"|"scripta juventuti Ultrajectinae : a J. Luntio."|||"Ultrajecti :"|"ex officina Hermanni Borculoi,"|"[1602]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00926cam a2200265Mi 4500"|"ocm66866774\"|"Luntius, Johannes."||||"Ode annalis septima: Impietatem et luxum esse causas poenarum divinarum :"|"scripta juventuti Ultrajectinae : a J. Luntio."|||"Ultrajecti :"|"ex officina typographica Hermanni Borculoi,"|"[1603]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00978cam a2200265Mi 4500"|"ocm66866777\"|"Luntius, Johannes."||||"Annalis octava: Status subditorum pessimus sub tyranno et puero, optimus sub pio et sapiente principe :"|"scripta juventuti Ultrajectinae : a J. Luntio."|||"Ultrajecti :"|"ex officina Hermanni Borculoi,"|"[1604]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00996cam a2200253Mi 4500"|"ocm66866790\"|"Strombergh, Henricus."||||"Triumphus Slusae Flandrorum captae, auspiciis Illustr. ac Potentissimorum Foederatarum Provinciarum Belgii ordinum, ductu inclutissimi, fortissimi & cum Deo invicti herois & domini D. Mauricii principis Auriaci ... /"||"carmine solemniter celebratus ab Henrico Strombergio."||"Campis :"|"excudebat Guilielmus Bernhardi,"|"1604."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01150cam a2200301Mi 4500"|"ocm66866794\"|"Merwe, Franciscus van."||||"Epithalamium, nuptiis castissimis, fato non inauspicato contractis D. Cornelii Verdousii Brunonis F., viri honestissimi, nuptiarum capitis ornatissimi, D.q. Gerardae Rodiae virginis castissimae ... /"||"devotum a Francisco Meruvio."||"Lugduni Batavorum :"|"ex officina Christophori Gujotii,"|"1601."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01057cam a2200289Mi 4500"|"ocm66867015\"|"Mouthaen, Henricus."||||"Lessi Henrici Mouthaen Utricis, fusi super immaturo obitu synceri viri-adulescentis D. Guiliemi Berckii Dordracensis, pridie natalis Christi."||||"Athenis Batavorum :"|"typis Christophori Guyotii,"|"[1600]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01414cam a2200289Mi 4500"|"ocm66870063\"|||||"Copey der Supplication etlicher Bürger in Cöllen die sich zur evangelischen Lehr Göttliches Worts und der darauff gegründten Augspurgischen Confession bekennen /"||"ubergeben den 2. Junij stylo novo anno 90. durch einen Doctor der H. Schrifft und eine fürnemme Person vom Adel ; umb erheblicher und notwendiger Ursachen willen in den Druck gefertiget."||"[S.l.] :"|"[s.n.],"|"1590."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"||||||
"00895cam a2200265Mi 4500"|"ocm66874194\"|||||"Catalogi librorum reprobatorum, et praelegendorum ex judicio Academiae Lovaniensis :"|"cum edicto Caesareo Majestatis evulgati."|||"Lovanii :"|"ex officina Servatii Sasseni,"|"1550."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00999cam a2200301Mi 4500"|"ocm66880789\"|||||"Vermeerderde articulen voor te stellen aen Do. Bekker."||||"[S.l.] :"|"[s.n.],"|"[1691]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01011cam a2200253Mi 4500"|"ocm66880882\"|"Marnix, Philips van,"||"heer van Sint Aldegonde,"|"1540-1598."|"Ad potentissimos ac serenissimos reges, principes, reliquosque amplissimos Christiani orbis ordines, seria de Reip. Christianæ statu eiusque salute atque incolumitate conservanda, Germani cuiusdam nobilis & patriæ amantis viri commonefactio."||||"[S.l.] :"|"[s.n.],"|"1584."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00926cam a2200289Mi 4500"|"ocm66922663\"|||||"Also by de veranderinge geschiet binnen de stadt Utrecht ... ontdeckt zijn verscheyde saecken, daer van voor desen groot achterdencken is geweest ..."||||"[S.l.] :"|"[s.n.],"|"[1618?]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00851cam a2200241Mi 4500"|"ocm66922844\"|||||"Andere beglaubte Zeitungen oder Gründlicher und satter doch summarischer Bericht was sich jüngsthin beyderseits zugetragen, als die dem König zu Franckreich zuziehende Zydgnossen den Hertzogen von Savoi angriffen ..."||||"[S.l.] :"|"[s.n.],"|"1589."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01257cam a2200313Mi 4500"|"ocm66931787\"|||||"Copye-Brief van den Bisschop van Munster, Aen de Hoog Mog. Heeren Staten Generael der Vereenighde Nederlanden :"|"Van dato den 14 September, 1665 /"|"Uyt het Hoogduytsch overgeset."||"[S.l.] :"|"[s.n.],"|"[1665?]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00880cam a2200265Mi 4500"|"ocm66968221\"|||||"Wee-klachte der Hollandtsche maeght, over dese verwerde tijden: met een ernstighe aen-sprake aen zijn princeliicke excellentie ..."||||"[S.l.] :"|"[s.n.],"|"1618."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"02708cam a2200469Ia 4500"|"ocm66969249\"|||||"Zum glückseligen newen Jar, Warnung, vnd Vermanunge an D. Nicklaus Selneckern :"|"das er mit seinen Consorten, die Anhaltischen Theologen zuschmehen, vnd in jnen die göttliche warheit wider sein eigen gewissen zu lestern, einmal auffhören wolle : Beyneben angehengter Bekentnis vn[d] meinunge D. Tilemanni Heshusij, von diesem streit, zum zeugnis der vnwidersprechlichen Warheit."|||"Gedruckt zu Zerbst :"|"durch Bonauentur Schmidt,"|"M.D. LXXXV."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"Anhalt (Germany);Germany"|"http://id.worldcat.org/fast/01223038;http://id.loc.gov/authorities/names/n82166974-781"|"Church history.;Sources."|"http://id.worldcat.org/fast/01411629;http://id.worldcat.org/fast/01423900"
